,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,x_7,y_7,v_7,a_7,yaw_7,width_7,length_7,x_8,y_8,v_8,a_8,yaw_8,width_8,length_8,end
0.0,296.34,6.550000000000002,30.41,0,3.141592653589793,1.92,4.04,238.64,6.71,23.5,6.25,3.142,2.5,16.98,275.96,2.6,35.5,0.0,3.135,2.02,5.15,307.29,10.77,25.0,6.25,3.132,2.5,19.4,352.01,6.35,32.5,0.0,3.142,2.02,4.55,370.81,10.36,24.5,-6.25,3.142,1.82,4.04,379.55,6.2,32.75,0.0,3.134,2.02,4.95,445.92,6.9,23.79,0.0,3.142,2.5,12.63,502.93,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.04,295.12359999999995,6.550000000000002,31.01,15.0,3.141592653589793,1.92,4.04,237.7,6.71,23.75,6.25,3.142,2.5,16.98,274.55,2.61,35.5,6.25,3.142,2.02,5.15,306.29,10.78,25.25,-6.25,3.142,2.5,19.4,350.71,6.35,32.5,6.25,3.149,2.02,4.55,369.83,10.36,24.25,0.0,3.131,1.82,4.04,378.24,6.21,32.75,-6.25,3.134,2.02,4.95,444.97,6.9,23.79,0.0,3.142,2.5,12.63,501.45,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.08,293.88319999999993,6.550000000000002,31.610000000000003,15.0,3.141592653589793,1.92,4.04,236.75,6.71,24.0,0.0,3.142,2.5,16.98,273.12,2.61,35.75,-6.25,3.142,2.02,5.15,305.28,10.78,25.0,6.25,3.142,2.5,19.4,349.41,6.34,32.75,0.0,3.142,2.02,4.55,368.86,10.37,24.25,6.25,3.142,1.82,4.04,376.93,6.22,32.5,-6.25,3.134,2.02,4.95,444.02,6.9,23.79,0.0,3.142,2.5,12.63,499.96,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.12,292.6187999999999,6.550000000000002,32.21,15.0,3.141592653589793,1.92,4.04,235.79,6.71,24.0,-18.75,3.142,2.5,16.98,271.69,2.61,35.5,6.25,3.142,2.02,5.15,304.28,10.78,25.25,0.0,3.142,2.5,19.4,348.1,6.34,32.75,6.25,3.142,2.02,4.55,367.89,10.37,24.5,12.5,3.131,1.82,4.04,375.62,6.23,32.25,12.5,3.134,2.02,4.95,443.06,6.9,23.79,0.0,3.142,2.5,12.63,498.48,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.16,291.3303999999999,6.550000000000002,32.81,15.0,3.141592653589793,1.92,4.04,234.83,6.71,23.25,0.0,3.142,2.5,16.98,270.27,2.61,35.75,0.0,3.142,2.02,5.15,303.27,10.78,25.25,6.25,3.132,2.5,19.4,346.79,6.34,33.0,0.0,3.149,2.02,4.55,366.91,10.38,25.0,-6.25,3.132,1.82,4.04,374.34,6.24,32.75,-6.25,3.134,2.02,4.95,442.11,6.9,23.79,0.0,3.142,2.5,12.63,497.0,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.2,290.01799999999986,6.550000000000002,33.410000000000004,15.0,3.141592653589793,1.92,4.04,233.9,6.71,23.25,6.25,3.142,2.5,16.98,268.84,2.61,35.75,0.0,3.142,2.02,5.15,302.26,10.79,25.5,0.0,3.142,2.5,19.4,345.47,6.33,33.0,0.0,3.142,2.02,4.55,365.91,10.39,24.75,6.25,3.142,1.82,4.04,373.03,6.25,32.5,-6.25,3.134,2.02,4.95,441.16,6.9,23.79,0.0,3.142,2.5,12.63,495.51,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.24000000000000002,288.68159999999983,6.550000000000002,34.010000000000005,15.0,3.141592653589793,1.92,4.04,232.97,6.71,23.5,-6.25,3.152,2.5,16.98,267.41,2.61,35.75,-6.25,3.135,2.02,5.15,301.24,10.79,25.5,-12.5,3.142,2.5,19.4,344.15,6.33,33.0,-6.25,3.149,2.02,4.55,364.92,10.39,25.0,-18.75,3.132,1.82,4.04,371.73,6.26,32.25,-6.25,3.134,2.02,4.95,440.21,6.9,23.79,0.0,3.142,2.5,12.63,494.03,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.28,287.3211999999998,6.550000000000002,34.61000000000001,15.0,3.141592653589793,1.92,4.04,232.03,6.7,23.25,0.0,3.142,2.5,16.98,265.99,2.62,35.5,0.0,3.142,2.02,5.15,300.22,10.79,25.0,0.0,3.142,2.5,19.4,342.83,6.32,32.75,0.0,3.142,2.02,4.55,363.92,10.4,24.25,6.25,3.142,1.82,4.04,370.44,6.27,32.0,0.0,3.134,2.02,4.95,439.26,6.9,23.79,0.0,3.142,2.5,12.63,492.55,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.32,285.9367999999998,6.550000000000002,35.21000000000001,15.0,3.141592653589793,1.92,4.04,231.1,6.7,23.25,6.25,3.142,2.5,16.98,264.56,2.62,35.5,6.25,3.142,2.02,5.15,299.22,10.79,25.0,6.25,3.132,2.5,19.4,341.52,6.32,32.75,0.0,3.149,2.02,4.55,362.95,10.4,24.5,6.25,3.131,1.82,4.04,369.16,6.28,32.0,12.5,3.134,2.02,4.95,438.31,6.9,23.79,0.0,3.142,2.5,12.63,491.06,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.36,284.5283999999998,6.550000000000002,35.750383850000006,13.509596249999978,3.141592653589793,1.92,4.04,230.17,6.7,23.5,0.0,3.142,2.5,16.98,263.14,2.62,35.75,0.0,3.142,2.02,5.15,298.22,10.8,25.25,0.0,3.142,2.5,19.4,340.21,6.31,32.75,12.5,3.149,2.02,4.55,361.97,10.41,24.75,12.5,3.131,1.82,4.04,367.88,6.29,32.5,6.25,3.134,2.02,4.95,437.35,6.9,23.79,0.0,3.142,2.5,12.63,489.58,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.39999999999999997,283.09838464599983,6.550000000000002,36.23324893186649,12.071627046662204,3.141592653589793,1.92,4.04,229.23,6.7,23.5,0.0,3.142,2.5,16.98,261.71,2.62,35.75,-6.25,3.142,2.02,5.15,297.21,10.8,25.25,-6.25,3.142,2.5,19.4,338.9,6.3,33.25,-6.25,3.149,2.02,4.55,360.98,10.42,25.25,-18.75,3.142,1.82,4.04,366.58,6.3,32.75,-12.5,3.134,2.02,4.95,436.4,6.9,23.79,0.0,3.142,2.5,12.63,488.1,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.43999999999999995,281.6490546887252,6.550000000000002,36.663976439628584,10.768187694052333,3.141592653589793,1.92,4.04,228.29,6.7,23.5,0.0,3.142,2.5,16.98,260.28,2.62,35.5,0.0,3.142,2.02,5.15,296.2,10.8,25.0,6.25,3.142,2.5,19.4,337.57,6.29,33.0,0.0,3.149,2.02,4.55,359.97,10.42,24.5,0.0,3.131,1.82,4.04,365.27,6.31,32.25,0.0,3.134,2.02,4.95,435.45,6.9,23.79,0.0,3.142,2.5,12.63,486.61,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.4799999999999999,280.18249563114006,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,227.35,6.7,23.5,6.25,3.142,2.5,16.98,258.87,2.62,35.5,0.0,3.142,2.02,5.15,295.2,10.8,25.25,-6.25,3.142,2.5,19.4,336.25,6.28,33.0,0.0,3.149,2.02,4.55,358.99,10.43,24.5,6.25,3.131,1.82,4.04,363.98,6.32,32.25,0.0,3.126,2.02,4.95,434.5,6.9,23.79,0.0,3.142,2.5,12.63,485.13,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.5199999999999999,278.7159365735549,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,226.41,6.7,23.75,-6.25,3.142,2.5,16.98,257.44,2.62,35.5,0.0,3.142,2.02,5.15,294.19,10.8,25.0,0.0,3.132,2.5,19.4,334.94,6.27,33.0,0.0,3.149,2.02,4.55,358.01,10.44,24.75,-6.25,3.131,1.82,4.04,362.69,6.34,32.25,6.25,3.134,2.02,4.95,433.55,6.9,23.79,0.0,3.142,2.5,12.63,483.65,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.5599999999999999,277.2493775159698,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,225.46,6.7,23.5,0.0,3.142,2.5,16.98,256.02,2.62,35.5,0.0,3.142,2.02,5.15,293.19,10.81,25.0,-6.25,3.142,2.5,19.4,333.61,6.26,33.0,6.25,3.149,2.02,4.55,357.02,10.45,24.5,6.25,3.142,1.82,4.04,361.4,6.35,32.5,-6.25,3.134,2.02,4.95,432.6,6.9,23.79,0.0,3.142,2.5,12.63,482.17,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.6,275.78281845838467,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,224.52,6.7,23.5,6.25,3.152,2.5,16.98,254.6,2.62,35.5,0.0,3.142,2.02,5.15,292.19,10.81,24.75,12.5,3.142,2.5,19.4,332.29,6.25,33.25,0.0,3.157,2.02,4.55,356.04,10.45,24.75,0.0,3.131,1.82,4.04,360.1,6.36,32.25,0.0,3.134,2.02,4.95,431.64,6.9,23.79,0.0,3.142,2.5,12.63,480.68,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.64,274.31625940079954,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,223.58,6.69,23.75,0.0,3.142,2.5,16.98,253.19,2.62,35.5,0.0,3.135,2.02,5.15,291.2,10.81,25.25,0.0,3.142,2.5,19.4,330.96,6.23,33.25,-6.25,3.149,2.02,4.55,355.05,10.46,24.75,-6.25,3.131,1.82,4.04,358.81,6.37,32.25,-6.25,3.134,2.02,4.95,430.69,6.9,23.79,0.0,3.142,2.5,12.63,479.2,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.68,272.8497003432144,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,222.63,6.69,23.75,-12.5,3.142,2.5,16.98,251.76,2.63,35.5,0.0,3.142,2.02,5.15,290.19,10.81,25.25,-6.25,3.142,2.5,19.4,329.63,6.22,33.0,0.0,3.157,2.02,4.55,354.06,10.47,24.5,-6.25,3.131,1.82,4.04,357.52,6.38,32.0,-6.25,3.126,2.02,4.95,429.74,6.9,23.79,0.0,3.142,2.5,12.63,477.72,3.02,37.08,0.0,3.142,2.02,4.75,-1
