,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,x_7,y_7,v_7,a_7,yaw_7,width_7,length_7,end
0.0,144.865,-6.004999999999997,25.31,0,0.009900666587986693,2.73,6.87,408.13,-10.7,24.75,0.0,0.0,2.5,16.98,171.81,-6.53,24.5,6.25,0.0,2.5,16.88,158.53,-10.73,24.0,0.0,0.0,2.5,19.2,161.83,-2.83,34.25,6.25,6.276,1.92,3.03,10.78,-2.6,33.75,-6.25,0.0,1.82,4.45,-1.12,-10.56,24.2,0.0,0.0,2.5,17.08,-40.94,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.04,145.87735038106206,-5.994976728900375,25.31,0,9.779392342798565e-09,2.73,6.87,409.12,-10.7,24.75,0.0,0.01,2.5,16.98,172.79,-6.53,24.75,0.0,0.01,2.5,16.88,159.49,-10.73,24.0,6.25,0.0,2.5,19.2,163.2,-2.84,34.5,0.0,0.0,1.92,3.03,12.12,-2.6,33.5,12.5,0.0,1.82,4.45,-0.15,-10.56,24.2,0.0,0.0,2.5,17.08,-39.7,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.08,146.88975038106207,-5.994976718999718,25.91,15.0,9.659603597284844e-15,2.73,6.87,410.11,-10.69,24.75,0.0,0.0,2.5,16.98,173.78,-6.52,24.75,0.0,0.0,2.5,16.88,160.45,-10.73,24.25,0.0,0.0,2.5,19.2,164.58,-2.84,34.5,6.25,6.276,1.92,3.03,13.46,-2.6,34.0,6.25,6.276,1.82,4.45,0.82,-10.56,24.2,0.0,0.0,2.5,17.08,-38.47,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.12,147.92615038106206,-5.994976718999708,25.91,0,9.320334114047535e-21,2.73,6.87,411.1,-10.69,24.75,0.0,0.0,2.5,16.98,174.77,-6.52,24.75,-6.25,0.0,2.5,16.88,161.42,-10.73,24.25,-6.25,0.0,2.5,19.2,165.96,-2.85,34.75,-12.5,0.0,1.92,3.03,14.82,-2.61,34.25,0.0,0.0,1.82,4.45,1.78,-10.56,24.2,0.0,0.0,2.5,17.08,-37.23,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.16,148.96255038106204,-5.994976718999708,25.91,0,8.992980624773304e-27,2.73,6.87,412.09,-10.69,24.75,0.0,0.0,2.5,16.98,175.76,-6.52,24.5,0.0,0.01,2.5,16.88,162.39,-10.73,24.0,0.0,0.0,2.5,19.2,167.35,-2.85,34.25,6.25,6.276,1.92,3.03,16.2,-2.61,34.25,0.0,0.0,1.82,4.45,2.75,-10.56,24.2,0.0,0.0,2.5,17.08,-35.99,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.2,149.99895038106203,-5.994976718999708,25.91,0,8.677124610380731e-33,2.73,6.87,413.08,-10.69,24.75,0.0,0.0,2.5,16.98,176.74,-6.51,24.5,0.0,0.0,2.5,16.88,163.35,-10.73,24.0,6.25,6.273,2.5,19.2,168.72,-2.86,34.5,-6.25,0.0,1.92,3.03,17.57,-2.61,34.25,-6.25,0.0,1.82,4.45,3.72,-10.56,24.2,0.0,0.0,2.5,17.08,-34.76,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.24000000000000002,151.03535038106202,-5.994976718999708,25.91,0,8.372362250887825e-39,2.73,6.87,414.07,-10.69,24.75,0.0,0.0,2.5,16.98,177.72,-6.51,24.5,6.25,0.0,2.5,16.88,164.31,-10.74,24.25,6.25,0.0,2.5,19.2,170.1,-2.86,34.25,0.0,6.276,1.92,3.03,18.94,-2.61,34.0,18.75,0.0,1.82,4.45,4.69,-10.56,24.2,0.0,0.0,2.5,17.08,-33.52,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.28,152.071750381062,-5.994976718999708,25.91,0,8.07830391010801e-45,2.73,6.87,415.06,-10.69,24.75,6.25,0.01,2.5,16.98,178.7,-6.51,24.75,-6.25,0.0,2.5,16.88,165.28,-10.74,24.5,0.0,0.0,2.5,19.2,171.47,-2.87,34.25,6.25,0.0,1.92,3.03,20.3,-2.61,34.75,-12.5,6.276,1.82,4.45,5.66,-10.56,24.2,0.0,0.0,2.5,17.08,-32.29,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.32,153.108150381062,-5.994976718999708,25.91,0,7.794573634465077e-51,2.73,6.87,416.05,-10.68,25.0,-6.25,0.0,2.5,16.98,179.69,-6.51,24.5,6.25,0.0,2.5,16.88,166.26,-10.74,24.5,-6.25,0.0,2.5,19.2,172.84,-2.87,34.5,0.0,0.0,1.92,3.03,21.69,-2.62,34.25,0.0,0.0,1.82,4.45,6.62,-10.56,24.2,0.0,0.0,2.5,17.08,-31.05,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.36,154.14455038106198,-5.994976718999708,25.91,0,7.520808677231315e-57,2.73,6.87,417.05,-10.68,24.75,0.0,0.0,2.5,16.98,180.67,-6.51,24.75,-12.5,0.01,2.5,16.88,167.24,-10.74,24.25,0.0,0.0,2.5,19.2,174.22,-2.87,34.5,6.25,6.276,1.92,3.03,23.05,-2.62,34.25,-6.25,0.0,1.82,4.45,7.59,-10.56,24.2,0.0,0.0,2.5,17.08,-29.82,-6.65,30.9,0.0,0.0,1.82,4.75,-1
