,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,end
0.0,406.655,5.855000000000005,32.36,0,3.1915510493117383,1.92,5.05,254.07,7.08,34.75,0.0,3.142,1.92,4.45,288.11,10.47,34.5,-6.25,3.134,1.82,4.35,367.17,6.88,24.75,-12.5,3.152,2.5,16.98,390.71,2.52,41.0,-12.5,3.142,1.92,4.55,459.27,3.03,39.53,0.0,3.142,1.92,4.55,463.76,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.04,405.3622149725565,5.790360748627828,32.36,0,3.316125557348671,1.92,5.05,252.69,7.08,34.75,0.0,3.142,1.92,4.45,286.73,10.48,34.25,6.25,3.134,1.82,4.35,366.18,6.87,24.25,0.25,3.152,2.5,16.98,389.07,2.52,40.5,12.5,3.142,1.92,4.55,457.69,3.03,39.53,0.0,3.142,1.92,4.55,462.51,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.08,404.0874798122383,5.565590574786783,32.36,0,3.316125653589719,1.92,5.05,251.29,7.08,34.75,0.0,3.142,1.92,4.45,285.36,10.49,34.5,0.0,3.134,1.82,4.35,365.21,6.86,24.26,-0.25,3.162,2.5,16.98,387.45,2.52,41.0,-12.5,3.142,1.92,4.55,456.11,3.03,39.53,0.0,3.142,1.92,4.55,461.26,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.12,402.81274467355223,5.340820278263891,32.36,0,3.316125653589793,1.92,5.05,249.91,7.08,34.75,-6.25,3.142,1.92,4.45,283.98,10.5,34.5,6.25,3.142,1.82,4.35,364.24,6.84,24.25,0.0,3.152,2.5,16.98,385.81,2.52,40.5,18.75,3.135,1.92,4.55,454.53,3.03,39.53,0.0,3.142,1.92,4.55,460.01,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.16,401.53800953486615,5.116049981740905,32.36,0,3.316125653589793,1.92,5.05,248.51,7.08,34.5,6.25,3.142,1.92,4.45,282.6,10.5,34.75,0.0,3.134,1.82,4.35,363.27,6.83,24.25,6.25,3.152,2.5,16.98,384.19,2.53,41.25,0.0,3.142,1.92,4.55,452.95,3.03,39.53,0.0,3.142,1.92,4.55,458.76,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.2,400.26327439618007,4.891279685217919,32.36,0,3.316125653589793,1.92,5.05,247.13,7.08,34.75,0.0,3.142,1.92,4.45,281.2,10.51,34.75,-6.25,3.134,1.82,4.35,362.3,6.82,24.5,-6.25,3.152,2.5,16.98,382.54,2.53,41.25,6.25,3.142,1.92,4.55,451.37,3.03,39.53,0.0,3.142,1.92,4.55,457.52,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.24000000000000002,398.988539257494,4.666509388694933,32.36,0,3.316125653589793,1.92,5.05,245.75,7.08,34.75,0.0,3.149,1.92,4.45,279.81,10.52,34.5,0.0,3.142,1.82,4.35,361.32,6.81,24.25,6.25,3.152,2.5,16.98,380.89,2.53,41.5,0.0,3.142,1.92,4.55,449.79,3.03,39.53,0.0,3.142,1.92,4.55,456.27,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.28,397.7138041188079,4.441739092171947,32.36,0,3.316125653589793,1.92,5.05,244.35,7.07,34.75,-6.25,3.142,1.92,4.45,278.44,10.52,34.5,0.0,3.134,1.82,4.35,360.35,6.8,24.5,-12.5,3.152,2.5,16.98,379.23,2.53,41.5,-12.5,3.136,1.92,4.55,448.21,3.03,39.53,0.0,3.142,1.92,4.55,455.02,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.32,396.4390689801218,4.2169687956489605,32.36,0,3.316125653589793,1.92,5.05,242.97,7.07,34.5,12.5,3.142,1.92,4.45,277.06,10.53,34.5,0.0,3.142,1.82,4.35,359.37,6.79,24.0,-6.25,3.152,2.5,16.98,377.57,2.54,41.0,-12.5,3.142,1.92,4.55,446.63,3.03,39.53,0.0,3.142,1.92,4.55,453.77,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.36,395.16433384143573,3.9921984991259745,32.36,0,3.316125653589793,1.92,5.05,241.59,7.07,35.0,-6.25,3.142,1.92,4.45,275.68,10.53,34.5,0.0,3.134,1.82,4.35,358.41,6.78,23.75,6.25,3.142,2.5,16.98,375.94,2.54,40.5,18.75,3.142,1.92,4.55,445.04,3.03,39.53,0.0,3.142,1.92,4.55,452.52,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.39999999999999997,393.88959870274965,3.7674282026029884,32.36,0,3.316125653589793,1.92,5.05,240.19,7.07,34.75,0.0,3.142,1.92,4.45,274.3,10.54,34.5,0.0,3.142,1.82,4.35,357.46,6.78,24.0,6.25,3.152,2.5,16.98,374.31,2.54,41.25,-18.75,3.136,1.92,4.55,443.46,3.03,39.53,0.0,3.142,1.92,4.55,451.28,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.43999999999999995,392.61486356406357,3.5426579060800023,32.36,0,3.316125653589793,1.92,5.05,238.79,7.07,34.75,0.0,3.142,1.92,4.45,272.92,10.54,34.5,0.0,3.134,1.82,4.35,356.5,6.77,24.25,0.0,3.142,2.5,16.98,372.66,2.55,40.5,6.25,3.142,1.92,4.55,441.88,3.03,39.53,0.0,3.142,1.92,4.55,450.03,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.4799999999999999,391.3401284253775,3.3178876095570162,32.36,0,3.316125653589793,1.92,5.05,237.41,7.07,34.75,0.0,3.142,1.92,4.45,271.54,10.55,34.5,0.0,3.142,1.82,4.35,355.53,6.77,24.25,-6.25,3.142,2.5,16.98,371.04,2.55,40.75,-6.25,3.135,1.92,4.55,440.3,3.03,39.53,0.0,3.142,1.92,4.55,448.78,6.77,31.2,0.0,3.142,1.92,4.35,-1
