,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,end
0.0,406.92499999999995,2.8350000000000026,44.2,0,3.141592653589793,2.02,5.05,308.14,6.69,30.25,0.0,3.142,2.53,7.68,331.53,3.33,37.25,-12.5,3.142,1.82,3.84,410.81,6.8,39.65,0.0,3.142,1.82,4.35,424.36,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.04,405.157,2.8350000000000026,44.477439565414215,6.935989135355365,3.141592653589793,2.02,5.05,306.93,6.69,30.25,-6.25,3.142,2.53,7.68,330.04,3.33,36.75,0.0,3.135,1.82,3.84,409.23,6.8,39.65,0.0,3.142,1.82,4.35,422.68,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.08,403.37790241738344,2.8350000000000026,44.63368610950298,3.906163602219075,3.141592653589793,2.02,5.05,305.72,6.69,30.0,0.0,3.133,2.53,7.68,328.57,3.34,36.75,-12.5,3.142,1.82,3.84,407.64,6.8,39.65,-85.0,3.142,1.82,4.35,421.01,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.12,401.5925549730033,2.8350000000000026,44.77414062475254,3.511362881238964,3.141592653589793,2.02,5.05,304.52,6.7,30.0,-6.25,3.142,2.53,7.68,327.1,3.34,36.25,0.0,3.142,1.82,3.84,406.06,6.8,36.25,25.0,3.148,1.82,4.35,419.33,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.16,399.8015893480132,2.8350000000000026,44.900351964618196,3.1552834966413212,3.141592653589793,2.02,5.05,303.32,6.7,29.75,6.25,3.142,2.53,7.68,325.65,3.34,36.25,-6.25,3.135,1.82,3.84,404.61,6.79,37.25,25.0,3.142,1.82,4.35,417.66,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.2,398.00557526942845,2.8350000000000026,45.013726323922626,2.834358982610785,3.141592653589793,2.02,5.05,302.13,6.7,30.0,0.0,3.133,2.53,7.68,324.2,3.35,36.0,12.5,3.142,1.82,3.84,403.12,6.79,38.25,12.5,3.148,1.82,4.35,415.99,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.24000000000000002,396.20502621647154,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,300.93,6.71,30.0,0.0,3.142,2.53,7.68,322.76,3.35,36.5,-18.75,3.142,1.82,3.84,401.59,6.78,38.75,12.5,3.142,1.82,4.35,414.31,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.28,394.4044771635146,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,299.73,6.71,30.0,0.0,3.142,2.53,7.68,321.3,3.35,35.75,0.0,3.135,1.82,3.84,400.04,6.78,39.25,6.25,3.142,1.82,4.35,412.64,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.32,392.6039281105577,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,298.53,6.71,30.0,0.0,3.133,2.53,7.68,319.87,3.36,35.75,18.75,3.142,1.82,3.84,398.47,6.78,39.5,6.25,3.148,1.82,4.35,410.96,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.36,390.8033790576008,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,297.33,6.72,30.0,6.25,3.142,2.53,7.68,318.44,3.36,36.5,-6.25,3.142,1.82,3.84,396.88,6.77,39.75,0.0,3.142,1.82,4.35,409.29,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.39999999999999997,389.0028300046439,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,296.13,6.72,30.25,0.0,3.142,2.53,7.68,316.98,3.36,36.25,6.25,3.135,1.82,3.84,395.3,6.77,39.75,0.0,3.142,1.82,4.35,407.61,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.43999999999999995,387.202280951687,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,294.92,6.72,30.25,-6.25,3.142,2.53,7.68,315.53,3.37,36.5,-6.25,3.142,1.82,3.84,393.7,6.77,39.75,6.25,3.142,1.82,4.35,405.94,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.4799999999999999,385.4017318987301,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,293.71,6.72,30.0,0.0,3.133,2.53,7.68,314.07,3.37,36.25,-6.25,3.142,1.82,3.84,392.12,6.77,40.0,-6.25,3.148,1.82,4.35,404.26,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.5199999999999999,383.60118284577317,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,292.51,6.73,30.0,-6.25,3.142,2.53,7.68,312.62,3.37,36.0,0.0,3.135,1.82,3.84,390.51,6.76,39.75,0.0,3.142,1.82,4.35,402.59,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.5599999999999999,381.80063379281626,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,291.31,6.73,29.75,6.25,3.142,2.53,7.68,311.18,3.38,36.0,18.75,3.142,1.82,3.84,388.93,6.76,39.75,0.0,3.142,1.82,4.35,400.92,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.6,380.00008473985935,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,290.12,6.73,30.0,0.0,3.142,2.53,7.68,309.74,3.38,36.75,0.0,3.142,1.82,3.84,387.34,6.76,39.75,-6.25,3.142,1.82,4.35,399.24,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.64,378.19953568690244,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,288.92,6.73,30.0,0.0,3.133,2.53,7.68,308.27,3.38,36.75,-18.75,3.142,1.82,3.84,385.75,6.76,39.5,0.0,3.142,1.82,4.35,397.57,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.68,376.3989866339455,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,287.72,6.74,30.0,0.0,3.142,2.53,7.68,306.8,3.38,36.0,12.5,3.135,1.82,3.84,384.17,6.76,39.5,0.0,3.148,1.82,4.35,395.89,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.7200000000000001,374.5984375809886,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,286.52,6.74,30.0,6.25,3.142,2.53,7.68,305.36,3.39,36.5,-6.25,3.142,1.82,3.84,382.59,6.75,39.5,0.0,3.142,1.82,4.35,394.22,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.7600000000000001,372.7978885280317,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,285.32,6.74,30.25,0.0,3.142,2.53,7.68,303.9,3.39,36.25,-6.25,3.142,1.82,3.84,381.0,6.75,39.5,6.25,3.142,1.82,4.35,392.54,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.8000000000000002,370.9973394750748,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,284.11,6.74,30.25,-6.25,3.142,2.53,7.68,302.45,3.39,36.0,-6.25,3.142,1.82,3.84,379.43,6.75,39.75,-6.25,3.142,1.82,4.35,390.87,3.11,41.86,0.0,3.142,1.82,4.85,-1
